Names,Best For,Joining Fee,Renewal Fee,Welcome Bonus,Reward Rates,travel,Domestic Lounge Access,Insurance Benefits,Movie & Dining,Reward redemption,Golf,International lounge access,Zero Liability Protection,Spend based waiver,Reward redemption fee,Foreign currency markup,Interest Rates,Fuel Surcharge,Cash advance charge,Add on card fee,Eligibility,Limit
Paytm HDFC Bank Select Credit Card,Shopping,Rs. 49 + GST,Rs. 49 + GST,Get complimentary Paytm First Membership as a welcome gift on making your first transaction worth Rs. 100 or more.,"3% cashback Paytm mall, Paytm movies & mini app, 2% cash back on other purchases on Paytm app, and 1% cashback on all other spends.",NA,NA,NA,Up to 20% discount in partner restaurants via Dineout,The earned cashback is sent to the cardholders in the form of Paytm vouchers or Redeem your Cashpoints as Cashback along with other redemption options.,NA,NA,The cardholders have zero liability on any fraudulent transactions made on their card once they report the loss of the card to the bank.,"Monthly fee of Rs. 50 is waived off on spending Rs. 5,000 or more in a month.",NA,3.5% on all international transactions,3.6% per month (43.2% per annum),1% fuel surcharge waiver on all fuel transactions worth Rs. 400 or more.,2.5% of the cash amount withdrawn or Rs. 500 (whichever is higher),NA,NA,NA
Paytm HDFC Bank Credit Card,Shopping,Rs. 29 + GST,Rs. 29 + GST,NA,"2% cashback on Paytm mall, movies & Mini app, 1% cashback on other spends on Paytm app, and 0.5% cashback on all other spends.",NA,NA,NA,Up to 20% discount on partner restaurants via Dineout.,Redeem your Cashpoints as Cashback along with other redemption options.,NA,NA,Cardholders will not be liable for any fraudulent transactions made on their card if the loss is reported to the bank in a timely manner.,"The monthly fee is waived off on spending Rs. 2,500 or more in the previous month.",NA,3.5% on all foreign currency transactions,3.75% per month (45% annually),1% fuel surcharge waiver capped at Rs. 250 per month.,2.5% of the transacted amount subject to a minimum of Rs. 500.,NA,NA,NA
Paytm HDFC Bank Mobile Credit Card,Shopping,NA,NA,You get a voucher worth Rs. 500 as a welcome gift which can be redeemed on a minimum spend of Rs. 5000 on private label brands.,Earn 6 First Citizen Points on every Rs.150 spent on Private Label Brands and 2 First Citizen Points on every Rs.150 spent on all other retail transactions except fuel and wallet.,NA,NA,NA,"PayZapp offers worth upto Rs. 1,500 on select merchants like Swiggy, Zomato and BigBasket.",The points can be redeemed on purchases made in Shoppers Stop Outlet or online through Shoppers Stop website.,NA,NA,Cardholder shall not be liable for any fraudulent transaction done on the card post reporting the loss of card to the bank.,NA,NA,3.5% on conversion amount (plus tax),3.6% per month or 43.2% per annum,"Cardholders get a 1% fuel surcharge waived (up to Rs. 250 per statement cycle), across all petrol stations in India.",2.5 % of the transaction amount subject to a minimum charge of Rs 500.,NA,NA,NA
Shoppers Stop HDFC Bank Credit Card,Shopping,"Rs. 5,000 (plus applicable taxes)","Rs. 5,000 (plus applicable taxes)","Get complimentary Shoppers Stop voucher worth Rs. 1,500 which will be redeemable on a minimum shopping of Rs. 5,000 on Private Label brands as a welcome gift.","Earn 20 First Citizen Points on every Rs. 150 spent on Shoppers Stop Private Label brands (maximum 2,000 First Citizen Points per month), 15 First Citizen Points on every Rs. 150 spent on all other Shoppers Stop brands (maximum 2,000 First Citizen Points per month), 5 First Citizen Points on every Rs. 150 spent on all retail transactions except fuel and wallet.",You get to enjoy complimentary access to domestic and international lounges.,"Complimentary Lounge Access at domestic airports – 16 times in a calendar year, maximum 4 times in a quarter","Get Accidental air death cover worth Rs. 3 crores, Emergency overseas hospitalization for a maximum of Rs. 50 Lakhs.",NA,The points can be redeemed against the purchases made at the Shoppers Stop Outlet or through their official website.,NA,"Complimentary Lounge Access at international airports – 8 times in a calendar year, maximum 2 times in a quarter","For any fraudulent transaction post the loss of the card, the cardholder will not be liable if the loss of card is reported to the 24-hour call centre immediately.",NA,NA,3.5% (plus applicable taxes),3.6% per month (or 43.2% annually),"Fuel surcharge waiver of 1%, maximum up-to Rs. 500 per statement cycle, at all the petrol pumps across India",2.5% of amount withdrawn or Rs. 500 whichever is higher,NA,NA,NA
Shoppers Stop Black HDFC Bank Credit Card,Travel,"Rs. 2,500 plus applicable taxes (zero fee variant also available as a limited period offer)","Rs. 2,500 plus applicable taxes (zero fee variant also available as a limited period offer)","1 Complimentary 6E Prime Add-On, Welcome vouchers from Accor Hotel stay (30% off )- Rs 5,000, Accor Hotel Dining voucher Rs 1,000 and Budweiser worth Rs. 250 each.","6E Rewards- 5% on IndiGo, 3% on dining, grocery and entertainment, and 2% for every other transaction.2zx",Complimentary access to domestic lounges,8 complimentary domestic lounge visits annualy (max 2 per quarter),NA,"3% 6E Rewards on Dining spends, discount at premium restaurants across major cities under the Good Food Trail Dining Program, 10% off additionally.",The IndiGo 6E rewards are redeemable for 6E Rewards’ Benefits including IndiGo flight tickets (1 6E Reward Point = Re. 1).,NA,NA,"If the loss of the card is reported to the bank within 24 hours, the cardholder will not be liable for any unauthorized transaction.",NA,NA,2.5% (plus applicable taxes),3.6% per month (43.2% annually),"1% fuel surcharge waiver (min transaction of Rs. 400 required, max waiver capped at Rs. 500 per statement cycle)","2.5% of the withdrawn amount, subject to a minimum charge of Rs. 500.",NA,"visit HDFC’s internet banking page.
Click on Register at the bottom left corner of the screen.
enter your details in the form on the page that opens and proceed with the registration process.",Conclusion
6E Rewards XL – IndiGo HDFC Bank Credit Card,Travel,Rs. 700 (plus applicable taxes),Rs. 700 (plus applicable taxes),"1 complimentary 6E Prime add-on, gift vouchers from Nissin Noddles, and Budweiser, American Tourister, free air ticket worth Rs. 1,500","1% 6E Rewards for every spend. 2% 6E Rewards on groceries, dining, and entertainment, and 2.5% 6E Rewards for IndiGo ticket bookings.","1 complimentary 6E Prime Add-On, 1 complimentary IndiGo air ticket worth Rs 1,500",NA,NA,Exciting discount offers on dining through the Good Food Trail Dining Program.,The 6E rewards you earn using your 6E Rewards IndiGo HDFC Credit Card can be redeemed through the 6E rewards portal. 1 6E Reward = Re. 1.,NA,NA,You will not be liable for any fraudulent transactions done on your lost/stolen card if you report the loss within 24 hours.,NA,Rs. 99 on every redemption request,3.5% of the transaction amount (plus applicable taxes),3.6% per month (43.2% annually),"1% fuel surcharge waiver for purchases between Rs. 400 & Rs. 5,000 capped at Rs. 250 per month.",2.5% of the amount withdrawn subject to a minimum charge of Rs. 500,NA,NA,NA
6E Rewards – IndiGo HDFC Bank Credit Card,"Travel , Shopping","Rs. 1,000 (plus applicable taxes)","Rs. 1,000 (plus applicable taxes)","1,000 Reward Points on payment of the annual fee.","For every Rs. 150 spent, you will get 4 Reward Points.","Complimentary airport lounge access across the globe, Priority Pass membership, up to 5% cashback on travel spends on Smartbuy",8 complimentary visits in a year to the domestic lounges.,"Air accidental cover amounting to Rs 50 lakh, emergency overseas hospitalization cover worth up to Rs 10 lakh, credit liability cover worth up to Rs 5 lakh","Special offers and discounts of up to 30% at more than 2,000 partnered restaurants.","1 RP = Re. 0.30 for flight/hotel bookings via SmaryBuy, 1 RP = 0.3 Airmile, 1 RP = Re. 0.25 when redeemed against products and vouchers, 1 RP = Re. 0.15 for redemption against cashback.",NA,3 complimentary visits in a year to international lounges.,No liability against any fraudulent transaction done after the loss or theft of the card is reported to the bank.,Waived off if an amount exceeding Rs. 1 Lakh is spent using this credit card.,Rs. 99,2% on all forex transactions,3.6% monthly (or 43.2% annually),1% fuel surcharge waiver on all fuel transactions,"2.5% of the amount withdrawn or Rs. 500, higher of the two.",NA,"Visit the official website of the HDFC Bank.
Under the section ‘Borrow,’ click on ‘Credit Cards.’
You will be redirected to a page where you will be able to see all the HDFC Bank Credit Cards.
Under the Lifestyle Credit Cards, choose the HDFC Bank Regalia First Credit card and click on apply now.
Start the application process by entering your mobile number, verifying it, and proceeding further will the online application form.",HDFC Regalia First Credit Card Login/Internet Banking
HDFC Bank Regalia First Credit Card,Travel,"Rs. 1,000 (plus applicable taxes)","Rs. 1,000 (plus applicable taxes)","1,000 Reward Points on settling the renewal membership fee.",4 Reward Points per Rs. 150 spent.,Complimentary access to domestic as well as international lounges.,Up to 6 complimentary access to domestic lounges annually,"Air accident Insurance up to Rs. 1 Crore, travel insurance cover worth up to Rs 50,000, emergency medical expenses cover worth up to Rs 25 Lakhs. Credit liability protection worth up to Rs 9 Lakhs.",15% discount and other offers on the finest restaurants all over India.,"1 Reward Points = 1 Airmile, 1 RP = Re. 0.50 when redeemed against flight or hotel bookings on SmartBuy, 1 RP = Re. 0.35 for products/vouchers, and 1 RP = Re. 0.20 for cashback.",NA,Up to 6 complimentary access to international lounges annually.,NA,The annual fee can be waived on spending Rs. 1 Lakh.,Rs. 99 per redemption request (plus applicable taxes),3.00% of the total transaction value (plus applicable taxes),3.6% per month (or 43.2% per annum),1% of Fuel Surcharge Waiver (waiver capped at Rs. 250 per billing cycle) at fuel stations all over India.,2.5% of the total transaction amount (Minimum Rs. 500),NA,NA,NA
HDFC Bank Diners Club Miles Credit Card,Fuel,Rs. 500 (plus applicable taxes),Rs. 500 (plus applicable taxes),NA,"5% of spends as Fuel Points at IndianOil outlets, groceries, and bill payments, 1 Fuel Point on every Rs. 150 spent on all other purchases, reward rate of up to 4.8%",NA,NA,NA,Save 2.5% on your dining bills.,"Fuel Points redeemable for Free Fuel using the complimentary IndianOil XTRAREWARDS Program (IXRP) membership at IndianOil outlets (1 FP = 96 Paise), through net-banking towards catalog products (1 FP = 20 Paise) and as cashback on the credit card (1 FP = 20 Paise)",NA,NA,Zero liability of credit cardholders against any unauthorized transaction if the loss or theft is reported to the bank within 24 hours post-loss or theft.,The renewal fee will be waived off on the basis of the amount spent using the credit card.,Rs 99 per redemption request,3.5% of the amount transacted,3.6% per month (or 43.2% per annum),"On a minimum fuel transaction of Rs. 400, you will get a fuel surcharge waiver of 1%.",2.5% of the amount withdrawn subject to a minimum charge of Rs 500.,NA,NA,NA
IndianOil HDFC Bank Credit Card,Travel,"Rs. 2,500 (plus applicable taxes)","Rs. 2,500 (plus applicable taxes)","Earn up to 8,000 bonus Inter Miles on the basis of your spending as a welcome gift.
Exciting discount vouchers for Flight & Hotel bookings.",Get 6 Inter Miles for every retail spend of Rs. 150 and 2x InterMiles on hotel/flight bookings at intermiles.com.,"You get complimentary domestic as well as International lounge access through VISA Lounge Program, MasterCard Lounge Program, and Priority Pass.",16 complimentary domestic lounge access at selected lounges in India.,NA,You get exclusive Dine Out Passport membership with great dining offers.,The Inter Miles you earn through your InterMiles HDFC Bank Signature credit card can be redeemed easily on www.intermiles.com.,NA,Up to 5 complimentary visits to International lounges via priority pass,You get zero liability protection for any fraudulent transactions once you report your card as lost/stolen.,You can get the renewal fee waived off if you have spent Rs. 3 lacs or more in the previous year.,Rs. 99 (plus applicable taxes),2% on all foreign currency spends,3.6% per month,2.5% fuel surcharge will be replaced by a convenience fee of 1% plus GST.,2.5% of the transacted amount or Rs. 500 (whichever is higher),NA,"You can simply go to the application tracking page of the HDFC bank credit cards, enter your application number or any of the required details and the status of your credit card application will be there on your screen.
You can also contact the HDFC bank credit card customer care and ask them for your Intermiles HDFC Bank Signature credit card application status.
Another way to check your card application status is to visit your nearest HDFC branch and ask the bank executives for the same.",NA
InterMiles HDFC Bank Signature Credit Card,Travel,"Rs. 5,000 (plus applicable taxes)","Rs. 5,000 (plus applicable taxes)","Get InterMiles Gold membership for the first year and up to 25,000 bonus InterMiles.","8 InterMiles for every Rs. 150 spent on retail transactions, 16 InterMiles for Rs. 150 spent towards flight/hotel bookings on intermiles.com","Unlimited airport lounge access to 1,000+ lounges in India and all over the world.
Exclusive discount on Etihad Airways.",Unlimited access to 1000+ airport lounges in India.,"Air accident cover amounting Rs. 2 crores, emergency overseas hospitalization cover amounting Rs. 50 lakhs, travel insurance cover amounting to Rs. 55,000, and credit liability cover amounting to Rs. 9 lakhs.",Complimentary Dineout Passport Membership and 15% off additionally.,InterMiles you be redeemed against travel-related bookings through intermiles.com.,Unlimited complimentary golf games at leading golf courses in India and selected golf courses all across the world.,Access to leading international lounges.,Customers have zero liability on all fraudulent transactions done on the card if the loss is reported within 24 hours.,"Waiver of the renewal fee on the basis of the amount spent in the previous year, i.e., Rs. 8 Lakhs.",Rs. 99 (plus applicable taxes),2% on all international spends,1.99% per month,1% fuel surcharge waiver on fuel transactions.,Higher of Rs. 500 or 2.5% of the amount withdrawn.,NA,NA,NA
InterMiles HDFC Bank Diners Club Credit Card,Travel,"Rs. 1,000 (plus applicable taxes)","Rs. 1,000 (plus applicable taxes)","Earn up to 3,000 Bonus InterMiles as a welcome gift on the basis of your spending.",Earn 4 InterMiles for every Rs. 150 spent on retail transactions and 8 InterMiles on every Rs. 150 spent on Hotel and Flight booking through intermiles.com,Complimentary domestic lounge access,"Complimentary Lounge Access at domestic airports – 8 times in a calendar year, maximum 2 times in a quarter",NA,NA,The InterMiles that you have been rewarded with can easily be redeemed through www.intermiles.com.,NA,NA,"For any fraudulent transaction post the loss of the card, the cardholder will not be liable if the loss of card is reported to the 24-hour call centre immediately.",The renewal fee can be waived off if you have spent Rs. 2.50 Lakhs or more in the previous year.,NA,3.5% (plus applicable taxes),3.6% per month (or 43.2% annually),Fuel surcharge waiver of 1% on a minimum spend of Rs. 400 (waiver maximum up-to Rs. 250 per billing cycle) at all the petrol pumps across India,2.5% of amount withdrawn or Rs. 500 whichever is higher,NA,NA,NA
InterMiles HDFC Bank Platinum Credit Card,Shopping,"Rs. 2,500 (plus applicable taxes)","Rs. 2,500 (plus applicable taxes)","You get 2,500 Reward Points as a welcome gift",Earn 4 Reward Points on every Rs. 150 spent on all retail transactions,You get to enjoy complementary access to domestic and international lounge using HDFC Bank Doctor’s Regalia Credit Card,Complimentary Lounge Access at airports across India – 12 times in a calendar year,"Air accident insurance worth Rs. 1 Crore, Emergency overseas hospitalization cover worth up to Rs. 15 Lakhs, Credit liability cover worth up to Rs 9 Lakhs",NA,"Reward points can easily be redeemed for hotel and flight bookings, premium products and vouchers through https://offers.smartbuy.hdfcbank.com/regalia",NA,6 Complimentary International lounge visits using the Priority Pass Membership,NA,"Upon spending Rs. 3 Lakhs or more in the previous year, renewal fee of Rs. 2,500 for HDFC Bank Doctor’s Regalia Credit Card will be waived off",Rs. 99 (plus applicable taxes),2% (plus applicable taxes),3.49% per month (or 41.88% annually),Fuel surcharge waiver of 1% on a minimum and maximum spend of Rs. 400 and Rs. 5000 respectively at all the petrol pumps across India,2.5% of amount withdrawn or Rs. 500 whichever is higher,NA,NA,NA
